16:05:04 [hphp] [28] BootStats: servers started done, took 2ms wall, 4ms cpu, 1 MB RSS
16:05:04 [hphp] [29] all servers started
16:05:04 [hphp] [30] BootStats: all done, took 188ms wall, 188ms cpu, 137 MB RSS total
16:05:04 [hphp] [31] BootStats: ExecutionContext = 0ms wall, 0ms cpu, 0 MB RSS
16:05:04 [hphp] [32] BootStats: ExtensionRegistry::moduleInit = 118ms wall, 120ms cpu, 7 MB RSS
16:05:04 [hphp] [33] BootStats: PageletServer::Restart = 0ms wall, 0ms cpu, 0 MB RSS
16:05:04 [hphp] [34] BootStats: Process::InitProcessStatics = 0ms wall, 0ms cpu, 0 MB RSS
16:05:04 [hphp] [35] BootStats: Stream::RegisterCoreWrappers = 0ms wall, 0ms cpu, 0 MB RSS
16:05:04 [hphp] [36] BootStats: TOTAL = 188ms wall, 188ms cpu, 137 MB RSS
16:05:04 [hphp] [37] BootStats: XboxServer::Restart = 0ms wall, 0ms cpu, 0 MB RSS
16:05:04 [hphp] [38] BootStats: apc_load = 0ms wall, 0ms cpu, 0 MB RSS
16:05:04 [hphp] [39] BootStats: enable_numa = 0ms wall, 0ms cpu, 0 MB RSS
16:05:04 [hphp] [40] BootStats: extra_process_init = 0ms wall, 0ms cpu, 0 MB RSS
16:05:04 [hphp] [41] BootStats: extra_process_init_concurrent_wait = 0ms wall, 0ms cpu, 0 MB RSS
16:05:04 [hphp] [42] BootStats: g_vmProcessInit = 36ms wall, 36ms cpu, 5 MB RSS
16:05:04 [hphp] [43] BootStats: loading static content = 0ms wall, 0ms cpu, 0 MB RSS
16:05:04 [hphp] [44] BootStats: mapping self = 23ms wall, 24ms cpu, 121 MB RSS
16:05:04 [hphp] [45] BootStats: onig_init = 0ms wall, 0ms cpu, 0 MB RSS
16:05:04 [hphp] [46] BootStats: pagein_self = 23ms wall, 24ms cpu, 121 MB RSS
16:05:04 [hphp] [47] BootStats: pcre_reinit = 2ms wall, 4ms cpu, -1 MB RSS
16:05:04 [hphp] [48] BootStats: pthread_init = 4ms wall, 0ms cpu, 3 MB RSS
16:05:04 [hphp] [49] BootStats: rds::requestExit = 0ms wall, 0ms cpu, 0 MB RSS
16:05:04 [hphp] [50] BootStats: servers started = 2ms wall, 4ms cpu, 1 MB RSS
16:05:04 [hphp] [51] BootStats: timezone_init = 0ms wall, 0ms cpu, 0 MB RSS
16:05:04 [hphp] [52] BootStats: warmup = 0ms wall, 0ms cpu, 0 MB RSS
16:05:04 [hphp] [53] BootStats: xenon = 0ms wall, 0ms cpu, 1 MB RSS
16:05:04 [hphp] [54] BootStats: xmlInitParser = 0ms wall, 0ms cpu, 0 MB RSS
